Name,Phone Number,Emails,Website,Location
"Univitec Sidi Ibrahim Fes | contrôle visite technique | fes | maroc","0535-643861","","","Rue Numero 814 Industriel, Fès 30000"
"Controle Technique Des Voitures Al Aalam","0535-941815","","","2XRR+2QR, Fès 30050"
"VISITE TECH AUTOMOBILE YAACOUB","0535-768144","","","223G+P42, Rte de Sefrou, Fès"
"Centre de visite technique CTAF","0535-681074","","","2WWW+6CM, Fès"
"Contrôle technique Automobiles HANS CONTRÔLE","0535-721050","","","Unnamed Road, Fès"
"VISITE TECHNIQUE MARRAKECH MVTA - (DEKRA)","0524-330310","abderrahim.ezzaoui@dekra.com","http://dekra-automotive.ma/","Bd Abou Oubeida Al Jarah, Marrakech 40000"
"Centre de visite technique Boufakrane مركز الفحص التقني بوفكران","0535-436868","","","QG39+7W6, Boufakrane"
"Centre de visite technique : DEKRA MASSAR","","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","Morocco"
"Centre de visite technique DEKRA Marrakech Menara","0524-397997","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Marrakech 40130"
"Dekra : Centre de visite technique de véhicules","","","http://www.dekra-industrial.ma/","Rue Numero 814 IndustrielFerm"
"centre de controle technique SONS UNION","0535-678404","","","3H28+G7Q, Tahla"
"Centre de visite technique DEKRA LAGIRONDE","0522-855132","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Rue Essaka El Hadida, Casablanca 20500"
"Visite Technique SALAMA LAZVITEX مركز الفحص التقني للسيارات السلامة","","","http://salama.ma/","Rue Numero 814 IndustrielFerm"
"SALAMA RESEAU MAROC","0537-757594","","http://www.salama.ma/","Av. Ahmed Reda Gdira, Rabat"
"VISITE TECHNIQUE SGS Aman auto","","","http://www.sgs.com/","Tanger"
"Centre Zyad pour contrôler technique des véhicules","0522-061666","","","LOT 19, LOTISSEMENT SOUKAINA, Casablanca"
"Dekra : Centre de Visite Technique Automobiles","","","http://dekra-automotive.ma/centre-securex-meknes/","Marrakech"
"Centre de contrôle Technique de voitures ORCOTEX Marrakech","0524-431161","","http://orcotex.com/","Angle Boulevard Yacoub El Mansour & Avenue, Bd Prince Moulay Abdellah, Marrakesh 40000"
"Centre de visite technique AL HAMRA","0522-528837","","","139 Boulevard de Sefrou, Hay Mly abdellah, Casablanca"
"Centre de Visite Technique Oued Merzeg","0522-292376","","","Azzemmour, Km 9 Dar Bouazza,, Route, Casablanca"
"Visite technique dekra","","","http://www.dekra-industrial.ma/","Bd Oued SebouFerm"
"Centre Visite Technique Essaada ( SGS )","0522-873645","","https://visiteessaada.com/","P3020, Casablanca"
"Centre de Visite Technique Koudous Dar Bouazza","0661-598782","","","Route d'Azemmour, Casablanca"
"Centre de visite technique Salama Harbil","0524-013230","","","harbil, Marrakech"
"CENTRE VISITE TECHNIQUE DEKRA VITAPT مركز الفحص التقني","","","http://dekra-automotive.ma/centre-securex-meknes/","Rue Numero 814 IndustrielFerm"
"Centre de visite technique automobiles Talilt","0528-264642","","","bab el madina, Agadir"
"Centre de visite technique Argana","0535-867907","","","Route nationnale N° 8, Avenue Mohammed V Sidi Addi, Sidi Addi 53102"
"Visite Technique Lakhsass مركز الفحص التقني لخصاص","0528-670889","","","966W+X97 Municipalité, Ifni, Lakhssas"
"CEVTECA : Centre de Visite Technique Agadir","0691-298000","","","Bd 11 Janvier, Agadir 80000"
"Centre de Visite technique DEKRA LISSASFA","0522-090734","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Quartier Lissasfa (route d'El Jadida), Casablanca"
"Visite Technique Radi S.A.R.L","0522-404240","cvtradi@gmail.com","http://dekra-automotive.ma/cvt-radi/","12 RUE TOULON, Casablanca"
"centre de control technique ait ourir revitex","0524-480609","","","G8WR+XVH, N9, Ait Ourir"
"Salama : Centre de Contrôle Technique des Véhicules","","","http://salama.ma/","Morocco"
"Centre de Visite technique : DEKRA Taounate","0665-679198","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","Taounate"
"Orcotex : Centre de Contôle Technique Automobile","","","http://orcotex.com/","Marrakech"
"Centre de visite technique Tassila","0528-333186","","","Dcheira El Jihadia 80000"
"CCTH Centre De Contrôle Technique Hamdane Ben Ahmed","0631-599599","","","3R66+V6C, Sidi Eddahbi"
"Securex visite technique voiture","0524-430370","","","JXGG+4HX, Rue Abou Bakr Seddiq, Marrakesh"
"Centre de visite technique DEKRA Ahfir","0536-629457","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","douar aichoune, Ahfir"
"Centre de visite technique DEKRA Salé","0665-391948","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Rte de Rabat, Salé"
"Contrôle Technologique","","","https://www.controletechnologique.com/","Marrakech"
"Dekra : Centre de visite technique automobiles","","","http://dekra-automotive.ma/centre-securex-meknes/","Marrakech"
"Orcotex","0522-240205","","http://orcotex.com/","1 Rue de Toulon, Casablanca 20100"
"MESSACONTEC","0528-287679","","","9GMC+C46 Rue Drarga, Agadir 80000"
"Centre De Visite Technique Mediouna","0522-519189","","","CFPH+8PG, N9, Mediouna"
"DEKRA Porte 4","","","https://dekraporte4.business.site/","porte 3، Rue de Toulon, Casablanca"
"Centre de visite technique CVT Saada","0537-516772","","","Route Marchouche Casa blanca, Rommani 45000"
"مركز الفحص التقني STE SOVITET","","contact@sovitet.com; Crr0709@gmail.com","http://www.sovitet.com/","STE SOVITET Morocco"
"Salama : Centre de Contrôle Technique Automobiles","","","http://salama.ma/","Rue Sebta"
"Centre de Visite Technique SALAMA","","","http://www.salama.ma/","Morocco"
"Dekra : Contrôle de Visite Technique Automobiles","","","http://dekra-automotive.ma/centre-securex-meknes/","MEKNÈS"
"Centre De Visite Technique SGS Mevitec , Brahim Roudani, Casablanca Maarif.","0703-181182","","","BD brahim roudani, angle Rue Al Marouni, Casablanca"
"CENTRE VISITE TECHNIQUE SIDI MOUMEN","","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","boulevard Al Binaa zone industriel sidi bernoussi cvtFerm"
"Centre de visite technique DEKRA SIDI MOUMEN","","abderrahim.ezzaoui@dekra.com","https://www.dekra.ma/","Morocco"
"Centre de visite technique DEKRA Berrechid","","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","Marrakech"
"Centre de visite technique Al Jaouda","0537-560256","","","W4P7+PW6, Témara"
"Centre de visite technique : DEKRA Demnate","0661-670708","contact.dam.ma@dekra.com","https://book.dekra.io/book/customer-retail/MA","Commune imlil, Demnate 23000"
"Centre de visite technique GHANDI","0522-996145","","","236 Bd Ghandi, Casablanca 20000"
"Centre de controle technique SGS Marrakech","","","http://www.sgs.com/","Marrakech Morocco"
"DEKRA Tifcotec","0524-335852","","","MXG2+XG9, Marrakech"
